date,equity,equity_norm,ret,csi500,hs300
2026-02-12,998893.73,1.0,0.0,1.0,1.0
2026-02-13,991110.09,0.9922077396561494,-0.00779226034385061,0.9852812397404687,0.9874623536256842
2026-02-24,1008379.97,1.009496745965159,0.01742478476836018,0.9963602484671136,0.9974501957590275
2026-02-25,1005335.46,1.0064488641849818,-0.0030192091181662217,1.0123450990699372,1.003455351304714
2026-02-26,1007213.77,1.00832925440427,0.001868341538455498,1.0158657799404398,1.0015458797375527
2026-02-27,998835.83,0.9999420358760286,-0.008317936320509256,1.0278837611537486,0.9981076486075661
2026-03-02,996669.72,0.9977735269196254,-0.002168634659411417,1.0278699071694013,1.0019261891635227
2026-03-03,976626.82,0.9777084295043077,-0.02010987150286858,0.9831478092511732,0.9865068868445441
2026-03-04,975448.71,0.9765290147531509,-0.0012063051883011155,0.9792695365070592,0.9752195429337114
2026-03-05,975315.97,0.9763961277442396,-0.00013608096319073226,0.9864192727323019,0.9847685746479875
2026-03-06,974320.03,0.9753990847454814,-0.00102114599846026,0.9924931111448656,0.9874694305295939
2026-03-09,965282.65,0.966351695890613,-0.009275576526944662,0.9828946149254186,0.9779380910750918
2026-03-10,965282.65,0.966351695890613,0.0,0.9984250738359789,0.9905030068366281
2026-03-11,965282.65,0.966351695890613,0.0,0.9975972300103892,0.9968043541181011
2026-03-12,965282.65,0.966351695890613,0.0,0.9923907080009254,0.9932159400692179
2026-03-13,964215.06,0.9652829235398245,-0.0011059869355364293,0.9781836548033469,0.9893130275630575
2026-03-16,975697.75,0.9767783305637527,0.011908847389294985,0.9716963812075154,0.9898255945764642
2026-03-17,972178.02,0.9732547024797122,-0.003607397885256991,0.9516186932392497,0.9825961558427468
2026-03-18,982305.02,0.9833929180834883,0.010416816459191347,0.9611635067532832,0.9870230770632459
2026-03-19,985074.08,0.9861650448041154,0.0028189411065004943,0.9351249491085698,0.9711145996527656
2026-03-20,978621.34,0.9797051584256115,-0.00655051242440563,0.9212289991790298,0.9676750548460051
2026-03-23,953249.1,0.9543048187918849,-0.02592651413058289,0.8833244742623659,0.9361000284347455
2026-03-24,949368.6,0.9504200211568051,-0.004070814228935515,0.9019185037886849,0.948119175061838
2026-03-25,946360.09,0.9474081792464549,-0.00316895882168422,0.9221346603717107,0.9614134145044324
2026-03-26,946360.09,0.9474081792464549,0.0,0.9072318095078339,0.9487149698553556
2026-03-27,945313.38,0.9463603100201661,-0.001106037766237522,0.9185671703664344,0.9540195754789941
2026-03-30,947636.31,0.9486858126539648,0.0024573120926312253,0.9204795425502218,0.9517694166724227
2026-03-31,940017.23,0.9410582945595224,-0.008040088712936821,0.9042872145828441,0.9428913559644526
2026-04-01,940026.95,0.9410680253243756,1.0340235997663427e-05,0.9200484901323602,0.9589981985677531
2026-04-02,936771.32,0.9378087897298144,-0.0034633368756076255,0.9028587227777963,0.9490073265024965
2026-04-03,941458.77,0.9425014310581368,0.005003835941518986,0.8945065390628048,0.9409292313846702
2026-04-07,944054.0,0.9450995352628753,0.0027566050502667583,0.8988007518665336,0.9408926391300239
2026-04-08,956692.29,0.9577518221082437,0.013387253271528898,0.94320497978915,0.9737218030934119
2026-04-09,958256.1,0.9593173640202948,0.001634600818200438,0.9376824041162123,0.9675067770889684
2026-04-10,957694.42,0.9587550619623972,-0.000586148108005724,0.9460792838475424,0.9824110333593383
2026-04-13,954361.47,0.9554184207363079,-0.0034801810790545673,0.9458813155159461,0.9844428039964589
2026-04-14,972153.8,0.9732304556561788,0.018643177202030348,0.960230541221272,0.9961237424193433
2026-04-15,965903.66,0.9669733936562,-0.00642916789503889,0.9549487660783235,0.9927257055609632
2026-04-16,969461.96,0.97053563445633,0.0036839077719199587,0.9710944392398022,1.003608309895503
2026-04-17,971045.11,0.972120537787338,0.0016330192058284787,0.9751440763918432,1.0019267824369043
2026-04-20,971410.67,0.9724865026432793,0.00037646036856120446,0.9841460202827317,1.0080227299983175
2026-04-21,979470.09,0.9805548484121529,0.008296614654232481,0.981807842862815,1.010259179952106
2026-04-22,985445.92,0.9865372966151265,0.006101084720208316,0.9943742732816534,1.0169610503311948
2026-04-23,988219.69,0.989314138552056,0.002814735891341291,0.9847615075770433,1.0141430653333836
2026-04-24,995832.45,0.9969353296471287,0.0077035097327395885,0.9791426188149809,1.010549841532442
2026-04-27,1004199.84,1.0053119864912956,0.008402407453181437,0.9852175612725699,1.0108842146480044
2026-04-28,1031071.77,1.0322136770244819,0.026759544195904317,0.9739293300779439,1.008185117398208
