date,code,side,price,shares,amount,fee,pnl
2026-07-20 00:00:00,688002,sell,125.434,963,120793.37,212.6,-348.39
2026-07-20 00:00:00,300054,sell,65.814,1741,114582.38,201.66,-6582.93
2026-07-20 00:00:00,688766,sell,399.6,282,112687.2,198.33,-8327.83
2026-07-20 00:00:00,300408,sell,90.929,1221,111024.28,195.4,-10183.22
2026-07-24,688002,buy,150.25,783,117645.83,148.23,0.0
2026-07-24,688019,buy,256.746,458,117589.89,148.16,0.0
2026-07-24,688766,buy,390.03,301,117398.92,147.92,0.0
2026-07-24,300054,buy,73.864,1593,117665.02,148.26,0.0
2026-07-24,300408,buy,100.941,1165,117596.08,148.17,0.0
2026-07-27 00:00:00,688019,sell,264.635,458,121202.88,213.32,3399.67
2026-07-27 00:00:00,688766,sell,371.408,301,111793.87,196.76,-5801.8
2026-07-27 00:00:00,300054,sell,74.096,1593,118034.66,207.74,161.9
2026-07-27 00:00:00,300408,sell,111.458,1165,129849.07,228.53,12024.46
2026-07-28 00:00:00,688002,sell,141.878,783,111090.46,195.52,-6750.89
2026-07-31,688002,buy,141.792,831,117828.86,148.46,0.0
2026-07-31,300408,buy,111.792,1054,117828.43,148.46,0.0
2026-07-31,688766,buy,355.255,331,117589.37,148.16,0.0
2026-07-31,688019,buy,237.617,496,117858.22,148.5,0.0
2026-07-31,300054,buy,68.749,1715,117903.99,148.56,0.0
2026-08-03 00:00:00,688002,sell,137.492,831,114256.16,201.09,-3773.79
2026-08-03 00:00:00,688766,sell,312.587,331,103466.33,182.1,-14305.14
2026-08-03 00:00:00,688019,sell,216.693,496,107479.77,189.16,-10567.61
2026-08-03 00:00:00,300054,sell,62.837,1715,107765.63,189.67,-10328.03
2026-08-07,688002,buy,170.21,679,115572.62,145.62,0.0
2026-08-07,300054,buy,77.818,1485,115559.34,145.6,0.0
2026-08-07,688766,buy,394.024,293,115448.92,145.47,0.0
2026-08-07,688019,buy,251.932,458,115384.71,145.38,0.0
2026-08-10 00:00:00,688766,sell,374.125,293,109618.77,192.93,-6023.08
2026-08-10,688766,buy,374.874,306,114711.6,144.54,0.0
